"condition","score","score_result"
"Birth Control",0.0845070422535211,"positive"
"Constipation",0.117647058823529,"positive"
"Alopecia",0,"neutral"
"Headache",0.25,"positive"
"Birth Control",0,"neutral"
"Birth Control",-0.0338983050847458,"negative"
"Adhd",-0.1,"negative"
"Irritable Bowel Syndrome",-0.0483870967741935,"negative"
"Cold Sores",0.0632911392405063,"positive"
"Weight Loss",0.1,"positive"
"Smoking Cessation",0.0980392156862745,"positive"
"Bacterial Infection",0.1,"positive"
"Diarrhea",0,"neutral"
"Pain",-0.0588235294117647,"negative"
"Depression",-0.0571428571428571,"negative"
"Depression",-0.0285714285714286,"negative"
"Bipolar Disorder",0,"neutral"
"Birth Control",-0.117647058823529,"negative"
"NA",0.0454545454545455,"positive"
"Diabetic Peripheral Neuropathy",-0.0909090909090909,"negative"
"Birth Control",-0.0655737704918033,"negative"
"Cough And Nasal Congestion",0.0277777777777778,"positive"
"Macular Degeneration",0.138888888888889,"positive"
"Chronic Pain",0.0327868852459016,"positive"
"Birth Control",-0.0625,"negative"
"Adhd",0.0579710144927536,"positive"
"Depression",0.0181818181818182,"positive"
"Adhd",0,"neutral"
"Birth Control",0,"neutral"
"Bipolar Disorder",0.191489361702128,"positive"
"Birth Control",0.02,"positive"
"Depression",-0.0666666666666667,"negative"
"Birth Control",-0.157894736842105,"negative"
"Birth Control",-0.181818181818182,"negative"
"Erectile Dysfunction",0,"neutral"
"Asthma, Maintenance",0.0769230769230769,"positive"
"Birth Control",-0.112676056338028,"negative"
"Chronic Pain",0.181818181818182,"positive"
"Chronic Pain",-0.183333333333333,"negative"
"Pain",-0.255813953488372,"negative"
"Ankylosing Spondylitis",-0.0615384615384615,"negative"
"High Blood Pressure",-0.142857142857143,"negative"
"Ulcerative Colitis",0,"neutral"
"Birth Control",0.0208333333333333,"positive"
"Vaginal Yeast Infection",0,"neutral"
"Birth Control",-0.222222222222222,"negative"
"Allergic Rhinitis",0,"neutral"
"Non-Small Cell Lung Cancer",0.275862068965517,"positive"
"Muscle Spasm",0,"neutral"
"Insomnia",0,"neutral"
"Migraine Prevention",-0.0862068965517241,"negative"
"Birth Control",-0.0909090909090909,"negative"
"Obesity",0,"neutral"
"Constipation, Drug Induced",-0.0952380952380952,"negative"
"Bipolar Disorder",-0.0625,"negative"
"Anxiety",-0.0689655172413793,"negative"
"Birth Control",-0.0384615384615385,"negative"
"Urticaria",0.0895522388059701,"positive"
"Fibromyalgia",-0.2,"negative"
"Major Depressive Disorder",0,"neutral"
"Allergic Rhinitis",0.333333333333333,"positive"
"Muscle Spasm",0.0384615384615385,"positive"
"Cough",0.175,"positive"
"High Blood Pressure",-0.0666666666666667,"negative"
"Bipolar Disorder",0.473684210526316,"positive"
"Overactive Bladder",0.0740740740740741,"positive"
"Obesity",-0.0147058823529412,"negative"
"Depression",0.134328358208955,"positive"
"Allergic Reactions",0.24,"positive"
"Hemorrhoids",0.1,"positive"
"Adhd",0.0810810810810811,"positive"
"Depression",0.0810810810810811,"positive"
"Birth Control",0.151515151515152,"positive"
"Major Depressive Disorder",-0.131578947368421,"negative"
"Birth Control",-0.130434782608696,"negative"
"Birth Control",0.0444444444444444,"positive"
"Restless Legs Syndrome",-0.0357142857142857,"negative"
"Panic Disorder",-0.166666666666667,"negative"
"Anxiety",-0.0384615384615385,"negative"
"Birth Control",0.0606060606060606,"positive"
"Birth Control",0.0923076923076923,"positive"
"Bipolar Disorder",0.209302325581395,"positive"
"Erectile Dysfunction",0.111111111111111,"positive"
"Hemophilia A",0.1875,"positive"
"Diabetes, Type 2",-0.466666666666667,"negative"
"Constipation, Acute",-0.08,"negative"
"Insomnia",0.4,"positive"
"Abnormal Uterine Bleeding",-0.04,"negative"
"Obesity",0.0483870967741935,"positive"
"Anxiety",0.0526315789473684,"positive"
"Obesity",0.1,"positive"
"Restless Legs Syndrome",-0.078125,"negative"
"Sedation",0,"neutral"
"Birth Control",-0.0338983050847458,"negative"
"Acne",0.132075471698113,"positive"
"Depression",-0.128205128205128,"negative"
"Lipodystrophy",0,"neutral"
"Cold Symptoms",0.0555555555555556,"positive"
"Bowel Preparation",0.1,"positive"
"Insomnia",0.125,"positive"
"Psoriatic Arthritis",-0.0625,"negative"
"Migraine",-0.132075471698113,"negative"
"Adhd",0.0163934426229508,"positive"
"Plaque Psoriasis",-0.163934426229508,"negative"
"Major Depressive Disorder",0.186046511627907,"positive"
"Irritable Bowel Syndrome",0.028169014084507,"positive"
"High Blood Pressure",0.0333333333333333,"positive"
"Birth Control",-0.0476190476190476,"negative"
"Birth Control",0.0212765957446809,"positive"
"Birth Control",0.103448275862069,"positive"
"Eye Redness",0.25,"positive"
"Major Depressive Disorder",0.0677966101694915,"positive"
"Acne",0.0909090909090909,"positive"
"Birth Control",0.0487804878048781,"positive"
"Insomnia",1,"positive"
"Nausea/Vomiting",0,"neutral"
"Seborrheic Dermatitis",0.304347826086957,"positive"
"Birth Control",0.0980392156862745,"positive"
"Generalized Anxiety Disorder",-0.0169491525423729,"negative"
"Atrial Fibrillation",0.05,"positive"
"Epilepsy",0,"neutral"
"Birth Control",0,"neutral"
"Androgenetic Alopecia",-0.0344827586206897,"negative"
"Acne",-0.0526315789473684,"negative"
"Birth Control",-0.101694915254237,"negative"
"Anxiety",-0.137931034482759,"negative"
"Major Depressive Disorder",-0.176470588235294,"negative"
"Insomnia",0.027027027027027,"positive"
"High Blood Pressure",0.111111111111111,"positive"
"Birth Control",0.0298507462686567,"positive"
"Migraine",0.0161290322580645,"positive"
"Benzodiazepine Withdrawal",0.333333333333333,"positive"
"Birth Control",0.137254901960784,"positive"
"Panic Disorder",-0.0597014925373134,"negative"
"Obesity",0.0188679245283019,"positive"
"Ankylosing Spondylitis",-0.0208333333333333,"negative"
"Weight Loss",-0.0298507462686567,"negative"
"Acne",0.0476190476190476,"positive"
"Insomnia",0.0232558139534884,"positive"
"High Blood Pressure",-0.0212765957446809,"negative"
"Alcohol Dependence",-0.0303030303030303,"negative"
"Anxiety",-0.229508196721311,"negative"
"Obesity",0.0952380952380952,"positive"
"Pain",0.142857142857143,"positive"
"Obesity",0.0333333333333333,"positive"
"Birth Control",0,"neutral"
"Shift Work Sleep Disorder",0.186440677966102,"positive"
"Cough",0,"neutral"
"Bipolar Disorder",0,"neutral"
"Bowel Preparation",0.172413793103448,"positive"
"Strep Throat",0.15,"positive"
"Vaginal Yeast Infection",0.0810810810810811,"positive"
"Birth Control",0,"neutral"
"Opiate Withdrawal",0.285714285714286,"positive"
"Gerd",0.108695652173913,"positive"
"Pain",-0.0666666666666667,"negative"
"Birth Control",0.266666666666667,"positive"
"High Blood Pressure",0.0952380952380952,"positive"
"Insomnia",0.0434782608695652,"positive"
"Anxiety",-0.0149253731343284,"negative"
"Anxiety",0.075,"positive"
"Obesity",0.166666666666667,"positive"
"Depression",0.117647058823529,"positive"
"Birth Control",0,"neutral"
"Seizures",0.125,"positive"
"Depression",-0.106060606060606,"negative"
"Birth Control",-0.0357142857142857,"negative"
"Endometriosis",-0.0344827586206897,"negative"
"Birth Control",0.0294117647058824,"positive"
"Psoriasis",-0.0344827586206897,"negative"
"Erectile Dysfunction",0.117647058823529,"positive"
"Fibromyalgia",0.0816326530612245,"positive"
"Birth Control",0.166666666666667,"positive"
"Emergency Contraception",0.024390243902439,"positive"
"Birth Control",0.1,"positive"
"Obesity",0.151515151515152,"positive"
"Fibromyalgia",-0.1,"negative"
"Acne",0.0816326530612245,"positive"
"Weight Loss",0,"neutral"
"Epilepsy",0.142857142857143,"positive"
"Non-Small Cell Lung Cancer",0.0882352941176471,"positive"
"Birth Control",0,"neutral"
"Migraine",0.158730158730159,"positive"
"Pulmonary Hypertension",0.046875,"positive"
"Depression",-0.0350877192982456,"negative"
"Birth Control",0.0416666666666667,"positive"
"Birth Control",-0.0294117647058824,"negative"
"Constipation",0.152173913043478,"positive"
"Osteoarthritis",0.153846153846154,"positive"
"Fibromyalgia",0.0869565217391304,"positive"
"Birth Control",-0.0317460317460317,"negative"
"Acne",-0.0447761194029851,"negative"
"Migraine",0.133333333333333,"positive"
"Allergies",-0.25,"negative"
"Weight Loss",0.147058823529412,"positive"
"Obesity",0.121212121212121,"positive"
"Birth Control",0.111111111111111,"positive"
"Diabetes, Type 2",-0.0384615384615385,"negative"
"Birth Control",0.072463768115942,"positive"
"Smoking Cessation",0,"neutral"
"Smoking Cessation",0.0434782608695652,"positive"
"Abnormal Uterine Bleeding",0,"neutral"
"Rheumatoid Arthritis",-0.0303030303030303,"negative"
"Birth Control",-0.09375,"negative"
"Headache",-0.111111111111111,"negative"
"Major Depressive Disorder",-0.0172413793103448,"negative"
"Acne",0.0454545454545455,"positive"
"Sinusitis",0,"neutral"
"Rheumatoid Arthritis",1,"positive"
"Abnormal Uterine Bleeding",-0.0303030303030303,"negative"
"Depression",0.2,"positive"
"Birth Control",0.0958904109589041,"positive"
"Depression",0.2,"positive"
"Migraine",-0.087719298245614,"negative"
"Depression",-0.046875,"negative"
"Anxiety",-0.0350877192982456,"negative"
"Migraine Prevention",0.0689655172413793,"positive"
"Weight Loss",0.108108108108108,"positive"
"Alcohol Withdrawal",0.290322580645161,"positive"
"Seizures",0.0547945205479452,"positive"
"Migraine",-0.15,"negative"
"Hepatitis C",0.0540540540540541,"positive"
"Birth Control",0,"neutral"
"Constipation, Chronic",0.0422535211267606,"positive"
"Birth Control",0.16,"positive"
"Emergency Contraception",-0.0819672131147541,"negative"
"Atopic Dermatitis",0.123076923076923,"positive"
"Birth Control",0.0416666666666667,"positive"
"Pain",0.0909090909090909,"positive"
"Constipation, Chronic",-0.156862745098039,"negative"
"Constipation",0,"neutral"
"Pain",-0.0810810810810811,"negative"
"Hyperprolactinemia",-0.0666666666666667,"negative"
"Emergency Contraception",0.0625,"positive"
"Acne",0,"neutral"
"Vaginal Yeast Infection",0.166666666666667,"positive"
"Emergency Contraception",0,"neutral"
"Nausea/Vomiting",-0.0967741935483871,"negative"
"Birth Control",0.0363636363636364,"positive"
"Spondyloarthritis",-0.0555555555555556,"negative"
"Atrial Fibrillation",-0.0769230769230769,"negative"
"Social Anxiety Disorder",-0.138888888888889,"negative"
"Seizures",-0.0714285714285714,"negative"
"Birth Control",-0.0652173913043478,"negative"
"Sexual Dysfunction, Ssri Induced",0.172413793103448,"positive"
"Sinusitis",-0.05,"negative"
"Bacterial Infection",0,"neutral"
"Gerd",0.208333333333333,"positive"
"Migraine Prevention",-0.0625,"negative"
"Hot Flashes",-0.0357142857142857,"negative"
"High Blood Pressure",0.117647058823529,"positive"
"Hypersomnia",0.144927536231884,"positive"
"Birth Control",0.0882352941176471,"positive"
"Schizophrenia",-0.025,"negative"
"Hirsutism",0.125,"positive"
"Pain",0.0434782608695652,"positive"
"Depression",-0.0579710144927536,"negative"
"Seasonal Allergic Conjunctivitis",-0.0612244897959184,"negative"
"Seizures",0.0806451612903226,"positive"
"Obsessive Compulsive Disorder",0.0487804878048781,"positive"
"Influenza",-0.0508474576271186,"negative"
"Birth Control",0,"neutral"
"Major Depressive Disorder",0.15,"positive"
"Birth Control",-0.0588235294117647,"negative"
"Angina",-0.09375,"negative"
"Birth Control",-0.227272727272727,"negative"
"Diabetes, Type 2",0.0161290322580645,"positive"
"Interstitial Cystitis",0.0208333333333333,"positive"
"Anxiety",-0.032258064516129,"negative"
"Birth Control",0.1,"positive"
"Pain",0.0289855072463768,"positive"
"Hyperhidrosis",-0.0161290322580645,"negative"
"Panic Disorder",-0.0303030303030303,"negative"
"Depression",0,"neutral"
"Allergic Rhinitis",0.102040816326531,"positive"
"Anxiety",0.0535714285714286,"positive"
"Birth Control",0.0714285714285714,"positive"
"Restless Legs Syndrome",0.0454545454545455,"positive"
"Panic Disorder",-0.0277777777777778,"negative"
"Depression",0,"neutral"
"Bipolar Disorder",0.0806451612903226,"positive"
"Narcolepsy",0.05,"positive"
"Birth Control",0.0731707317073171,"positive"
"Birth Control",0.0384615384615385,"positive"
"Pain",0,"neutral"
"Adhd",-0.015625,"negative"
"Bacterial Infection",0.0851063829787234,"positive"
"Birth Control",-0.0810810810810811,"negative"
"Anxiety And Stress",-0.0689655172413793,"negative"
"Constipation, Chronic",0.0405405405405405,"positive"
"Diabetes, Type 2",-0.037037037037037,"negative"
"Pain",-0.0769230769230769,"negative"
"Back Pain",-0.0789473684210526,"negative"
"Birth Control",0.0158730158730159,"positive"
"Seizures",0.1,"positive"
"Depression",0.166666666666667,"positive"
"Major Depressive Disorder",-0.0333333333333333,"negative"
"Birth Control",0.0151515151515152,"positive"
"Emergency Contraception",0.0256410256410256,"positive"
"Social Anxiety Disorder",0.0277777777777778,"positive"
"Diabetes, Type 2",-0.0294117647058824,"negative"
"Allergies",-0.142857142857143,"negative"
"Generalized Anxiety Disorder",0.0508474576271186,"positive"
"Acne",-0.0434782608695652,"negative"
"Alzheimer's Disease",-0.032258064516129,"negative"
"Helicobacter Pylori Infection",-0.285714285714286,"negative"
"Birth Control",0.078125,"positive"
"Hiv Infection",0.125,"positive"
"Abnormal Uterine Bleeding",-0.0483870967741935,"negative"
"Major Depressive Disorder",-0.0882352941176471,"negative"
"Restless Legs Syndrome",-0.0454545454545455,"negative"
"Diarrhea",0.0526315789473684,"positive"
"High Cholesterol",0,"neutral"
"Insomnia",0.4,"positive"
"Hepatitis C",0.0555555555555556,"positive"
"Birth Control",-0.0862068965517241,"negative"
"Birth Control",0,"neutral"
"Bowel Preparation",-0.0545454545454545,"negative"
"Pain",0.125,"positive"
"Insomnia",0.162790697674419,"positive"
"Diabetes, Type 1",0.5,"positive"
"Depression",0.0645161290322581,"positive"
"Birth Control",-0.0454545454545455,"negative"
"Anxiety And Stress",0.0434782608695652,"positive"
"Adhd",0.0740740740740741,"positive"
"Fibromyalgia",-0.0943396226415094,"negative"
"Rheumatoid Arthritis",0.106382978723404,"positive"
"Chronic Myelogenous Leukemia",0.0869565217391304,"positive"
"Diabetes, Type 2",-0.0476190476190476,"negative"
"Adhd",-0.137931034482759,"negative"
"Copd, Maintenance",0.128205128205128,"positive"
"Birth Control",0.0597014925373134,"positive"
"Bipolar Disorder",0.125,"positive"
"Abnormal Uterine Bleeding",0.127272727272727,"positive"
"Weight Loss",0.0961538461538462,"positive"
"Emergency Contraception",0,"neutral"
"Acne",0.180327868852459,"positive"
"Pneumonia",0.0294117647058824,"positive"
"Birth Control",0.25,"positive"
"Bipolar Disorder",0.0681818181818182,"positive"
"Birth Control",0.0806451612903226,"positive"
"Hypersomnia",0.0428571428571429,"positive"
"Birth Control",0.0833333333333333,"positive"
"Emergency Contraception",-0.0142857142857143,"negative"
"Birth Control",0,"neutral"
"Pain",0.0416666666666667,"positive"
"Birth Control",-0.0441176470588235,"negative"
"Hepatitis C",0.125,"positive"
"Anxiety",0.1,"positive"
"Acne",0.0833333333333333,"positive"
"Postmenopausal Symptoms",-0.02,"negative"
"Post Traumatic Stress Disorder",0.0333333333333333,"positive"
"Birth Control",0.0307692307692308,"positive"
"Birth Control",-0.0652173913043478,"negative"
"Birth Control",-0.104477611940299,"negative"
"Obesity",0.215384615384615,"positive"
"Anxiety",-0.0526315789473684,"negative"
"Acne",-0.0222222222222222,"negative"
"Insomnia",-0.222222222222222,"negative"
"Menstrual Disorders",-0.25,"negative"
"Rhinitis",-0.134328358208955,"negative"
"Birth Control",-0.145833333333333,"negative"
"Major Depressive Disorder",-0.0185185185185185,"negative"
"Insomnia",0.0810810810810811,"positive"
"Parkinson's Disease",0.25,"positive"
"Depression",-0.037037037037037,"negative"
"Hypogonadism, Male",0.170212765957447,"positive"
"Bronchitis",-0.133333333333333,"negative"
"Onychomycosis, Toenail",0,"neutral"
"Major Depressive Disorder",0,"neutral"
"Acne",0.0526315789473684,"positive"
"Menstrual Disorders",-0.0666666666666667,"negative"
"Bipolar Disorder",-0.0232558139534884,"negative"
"Depression",-0.106060606060606,"negative"
"Obesity",0.125,"positive"
"Skin Or Soft Tissue Infection",-0.169811320754717,"negative"
"Abnormal Uterine Bleeding",-0.178571428571429,"negative"
"Dysuria",-0.0833333333333333,"negative"
"Diabetes, Type 2",0.0408163265306122,"positive"
"Pain",-0.0526315789473684,"negative"
"Osteoarthritis",-0.0277777777777778,"negative"
"Constipation",-0.0447761194029851,"negative"
"Weight Loss",0.0149253731343284,"positive"
"Birth Control",0.0961538461538462,"positive"
"Abnormal Uterine Bleeding",-0.0909090909090909,"negative"
"Hepatitis C",0.0625,"positive"
"Panic Disorder",-0.166666666666667,"negative"
"Menstrual Disorders",-0.12,"negative"
"Diabetes, Type 2",0.245614035087719,"positive"
"Hirsutism",0.106382978723404,"positive"
"Nausea/Vomiting",0.25,"positive"
"Birth Control",0,"neutral"
"Obesity",0.117647058823529,"positive"
"Muscle Spasm",0,"neutral"
"Vitamin D Deficiency",-0.0344827586206897,"negative"
"Bipolar Disorder",0.3,"positive"
"Pain",0.125,"positive"
"Bipolar Disorder",0.214285714285714,"positive"
"Vaginal Yeast Infection",0.1,"positive"
"Bladder Infection",0.0188679245283019,"positive"
"Opiate Dependence",0,"neutral"
"Pain",0.0769230769230769,"positive"
"Acne",0.04,"positive"
"Insomnia",-0.0465116279069767,"negative"
"Acne",0.0227272727272727,"positive"
"Fibromyalgia",-0.0714285714285714,"negative"
"Benign Prostatic Hyperplasia",0.111111111111111,"positive"
"Supraventricular Tachycardia",-0.0175438596491228,"negative"
"Obesity",-0.130434782608696,"negative"
"Depression",0.157894736842105,"positive"
"Hot Flashes",0.0909090909090909,"positive"
"Period Pain",0.157894736842105,"positive"
"Schizoaffective Disorder",-0.0740740740740741,"negative"
"Gerd",-0.0465116279069767,"negative"
"Nausea/Vomiting",-0.181818181818182,"negative"
"Bipolar Disorder",0,"neutral"
"Adhd",0.380952380952381,"positive"
"Nausea/Vomiting",-0.173913043478261,"negative"
"Premenstrual Syndrome",-0.0491803278688525,"negative"
"Pain",-0.0517241379310345,"negative"
"Abnormal Uterine Bleeding",0,"neutral"
"Nausea/Vomiting Of Pregnancy",0.0256410256410256,"positive"
"Muscle Spasm",-0.0588235294117647,"negative"
"Migraine",0.0169491525423729,"positive"
"Muscle Spasm",0.0476190476190476,"positive"
"Abnormal Uterine Bleeding",-0.0476190476190476,"negative"
"Birth Control",0.166666666666667,"positive"
"Overactive Bladder",-0.0434782608695652,"negative"
"Depression",0.0303030303030303,"positive"
"Allergies",0.129032258064516,"positive"
"Weight Loss",0.103448275862069,"positive"
"Cough And Nasal Congestion",-0.2,"negative"
"Acne",0.0952380952380952,"positive"
"Endometriosis",0.0294117647058824,"positive"
"Acne",-0.0204081632653061,"negative"
"Hypoparathyroidism",0,"neutral"
"Pruritus",0.0909090909090909,"positive"
"Breast Cancer, Metastatic",0.142857142857143,"positive"
"Diabetes, Type 2",-0.0263157894736842,"negative"
"Pain",0,"neutral"
"Hemorrhoids",0,"neutral"
"Neuralgia",0.136363636363636,"positive"
"Birth Control",-0.0547945205479452,"negative"
"Anxiety And Stress",0.207547169811321,"positive"
"Birth Control",-0.0909090909090909,"negative"
"Pain",0.285714285714286,"positive"
"Edema",-0.0303030303030303,"negative"
"Migraine",0.0714285714285714,"positive"
"Abnormal Uterine Bleeding",0.0357142857142857,"positive"
"Cough",0.157894736842105,"positive"
"Birth Control",0.0681818181818182,"positive"
"Cold Sores",-0.185714285714286,"negative"
"Birth Control",-0.0158730158730159,"negative"
"Anxiety",-0.0526315789473684,"negative"
"Depression",-0.0606060606060606,"negative"
"Acne",0.107692307692308,"positive"
"Acne",0.227272727272727,"positive"
"Gout",-0.0555555555555556,"negative"
"Weight Loss",0,"neutral"
"Emergency Contraception",-0.0151515151515152,"negative"
"Breast Cancer",0,"neutral"
"Birth Control",0.16,"positive"
"Acne",0.0208333333333333,"positive"
"Birth Control",-0.217391304347826,"negative"
"Trichomoniasis",0.0285714285714286,"positive"
"Birth Control",0.102564102564103,"positive"
"Cough",-0.171428571428571,"negative"
"Depression",0.108108108108108,"positive"
"Neuropathic Pain",-0.027027027027027,"negative"
"Hypogonadism, Male",0.0980392156862745,"positive"
"Social Anxiety Disorder",0.078125,"positive"
"Birth Control",0.1,"positive"
"Birth Control",0.0416666666666667,"positive"
"Edema",-0.125,"negative"
"Nausea/Vomiting",0.0769230769230769,"positive"
"Obesity",-0.0181818181818182,"negative"
"Migraine",-0.117647058823529,"negative"
"Acne",0.1,"positive"
"Weight Loss",0.2,"positive"
"Depression",-0.0384615384615385,"negative"
"Irritable Bowel Syndrome",0,"neutral"
"Endometriosis",-0.114285714285714,"negative"
"Birth Control",0,"neutral"
"Urinary Tract Infection",-0.163265306122449,"negative"
"Birth Control",-0.032258064516129,"negative"
"Migraine Prevention",-0.114285714285714,"negative"
"Birth Control",0,"neutral"
"Constipation, Acute",-0.194444444444444,"negative"
"Birth Control",-0.17741935483871,"negative"
"Narcolepsy",0.0810810810810811,"positive"
"Migraine",0.176470588235294,"positive"
"Birth Control",0.234042553191489,"positive"
"Bipolar Disorder",-0.0178571428571429,"negative"
"Rosacea",0.117647058823529,"positive"
"Depression",0.261904761904762,"positive"
"Anxiety",-0.148936170212766,"negative"
"Birth Control",-0.05,"negative"
"Stomach Ulcer",1,"positive"
"Smoking Cessation",-0.0136986301369863,"negative"
"Vaginal Yeast Infection",-0.0641025641025641,"negative"
"Pain",0.0740740740740741,"positive"
"Onychomycosis, Toenail",0.16,"positive"
"Birth Control",-0.137931034482759,"negative"
"Weight Loss",0,"neutral"
"Birth Control",-0.131147540983607,"negative"
"Alopecia",0.0540540540540541,"positive"
"Anxiety",-0.0161290322580645,"negative"
"Bipolar Disorder",0,"neutral"
"Obesity",-0.0273972602739726,"negative"
"Bipolar Disorder",0.101449275362319,"positive"
"Weight Loss",-0.0483870967741935,"negative"
"Urinary Tract Infection",0.024390243902439,"positive"
"Allergies",0.0185185185185185,"positive"
"Benign Prostatic Hyperplasia",0.388888888888889,"positive"
"Rheumatoid Arthritis",-0.0967741935483871,"negative"
"Rosacea",0.0447761194029851,"positive"
"Constipation",0,"neutral"
"Panic Disorder",-0.1,"negative"
"Birth Control",0.0428571428571429,"positive"
"Crohn's Disease, Maintenance",0.0163934426229508,"positive"
"Birth Control",-0.09375,"negative"
"Birth Control",0.0384615384615385,"positive"
"Bipolar Disorder",-0.2,"negative"
"Asthma/Copd",0.666666666666667,"positive"
"Birth Control",0.0285714285714286,"positive"
"Anxiety And Stress",-0.176470588235294,"negative"
"Depression",0.166666666666667,"positive"
"Ankylosing Spondylitis",-0.0731707317073171,"negative"
"Weight Loss",-0.0434782608695652,"negative"
"Birth Control",-0.4,"negative"
"Depression",-0.166666666666667,"negative"
"Panic Disorder",-0.275862068965517,"negative"
"Anxiety And Stress",0,"neutral"
"Bowel Preparation",0.0645161290322581,"positive"
"Headache",0.636363636363636,"positive"
"Acne",0.0821917808219178,"positive"
"Periodic Limb Movement Disorder",0,"neutral"
"Adhd",0.0909090909090909,"positive"
"Anxiety",1,"positive"
"Obesity",0.0434782608695652,"positive"
"Narcolepsy",0.0579710144927536,"positive"
"Insomnia",0.333333333333333,"positive"
"Depression",-0.12962962962963,"negative"
"Panic Disorder",0.103448275862069,"positive"
"Tinea Cruris",0.5,"positive"
"Muscle Spasm",0.135135135135135,"positive"
"Bowel Preparation",0.0754716981132075,"positive"
"Emergency Contraception",-0.0784313725490196,"negative"
"Birth Control",-0.125,"negative"
"Bipolar Disorder",0.0689655172413793,"positive"
"Birth Control",-0.0789473684210526,"negative"
"Anxiety",0.0985915492957746,"positive"
"Major Depressive Disorder",0.0923076923076923,"positive"
"Acne",0.103896103896104,"positive"
"Pain",-0.0882352941176471,"negative"
"Overactive Bladder",0.0408163265306122,"positive"
"Birth Control",0,"neutral"
"Birth Control",0.25,"positive"
"Birth Control",-0.0408163265306122,"negative"
"Migraine",0.0888888888888889,"positive"
"Constipation",0.109090909090909,"positive"
"Depression",0,"neutral"
"Sedation",0.152777777777778,"positive"
"Bipolar Disorder",-0.0857142857142857,"negative"
"Ovulation Induction",0,"neutral"
"Rheumatoid Arthritis",-0.136363636363636,"negative"
"Mitral Valve Prolapse",0.133333333333333,"positive"
"Neutropenia Associated With Chemotherapy",0.0597014925373134,"positive"
"Depression",0.151515151515152,"positive"
"Obesity",0.0144927536231884,"positive"
"Osteoarthritis",0.0675675675675676,"positive"
"NA",-0.12,"negative"
"Birth Control",0.08,"positive"
"Bacterial Infection",0.133333333333333,"positive"
"Depression",-0.0447761194029851,"negative"
"Weight Loss",0.03125,"positive"
"Birth Control",-0.108695652173913,"negative"
"Hepatitis C",0,"neutral"
"Cough",1,"positive"
"Bacterial Infection",-0.04,"negative"
"Depression",0,"neutral"
"Allergies",0.0303030303030303,"positive"
"Birth Control",-0.164179104477612,"negative"
"Allergic Rhinitis",-0.130434782608696,"negative"
"Birth Control",0.266666666666667,"positive"
"Obesity",-0.151515151515152,"negative"
"Schizophrenia",-0.171428571428571,"negative"
"Diabetes, Type 2",0.307692307692308,"positive"
"Anxiety",0.0384615384615385,"positive"
"Abnormal Uterine Bleeding",-0.04,"negative"
"Obesity",0.0571428571428571,"positive"
"Arrhythmia",-0.0392156862745098,"negative"
"Breakthrough Pain",0,"neutral"
"Birth Control",-0.0227272727272727,"negative"
"Diabetes, Type 2",0.0357142857142857,"positive"
"Bacterial Vaginitis",0.0384615384615385,"positive"
"Bronchitis",0.0909090909090909,"positive"
"Asthma, Maintenance",-0.0961538461538462,"negative"
"Vaginal Yeast Infection",-0.0185185185185185,"negative"
"Anxiety",0.025,"positive"
"Birth Control",0.027027027027027,"positive"
"Vaginal Yeast Infection",-0.08,"negative"
"Pain",0.0434782608695652,"positive"
"High Blood Pressure",0.0714285714285714,"positive"
"Pain",0.0606060606060606,"positive"
"Headache",0.212121212121212,"positive"
"Birth Control",0.25,"positive"
"Insomnia",-0.0357142857142857,"negative"
"Allergic Rhinitis",0,"neutral"
"Bacterial Infection",-0.0555555555555556,"negative"
"Birth Control",0.0526315789473684,"positive"
"Anxiety And Stress",1,"positive"
"Birth Control",0.0303030303030303,"positive"
"Muscle Spasm",0.148148148148148,"positive"
"Schizoaffective Disorder",0,"neutral"
"Smoking Cessation",0.0576923076923077,"positive"
"Bowel Preparation",0.176470588235294,"positive"
"Bowel Preparation",-0.0508474576271186,"negative"
"Depression",0.138461538461538,"positive"
"NA",-0.161290322580645,"negative"
"High Cholesterol",0.101694915254237,"positive"
"Overactive Bladder",0.0232558139534884,"positive"
"Obesity",-0.0172413793103448,"negative"
"Depression",0.285714285714286,"positive"
"Weight Loss",0.0161290322580645,"positive"
"Abnormal Uterine Bleeding",-0.181818181818182,"negative"
"Plaque Psoriasis",0.157894736842105,"positive"
"Hyperhidrosis",-0.0491803278688525,"negative"
"Overactive Bladder",0.230769230769231,"positive"
"NA",0.133333333333333,"positive"
"Breast Cancer",0.0158730158730159,"positive"
"Birth Control",-0.0153846153846154,"negative"
"Birth Control",0.0769230769230769,"positive"
"Insomnia",0,"neutral"
"Bipolar Disorder",0.0952380952380952,"positive"
"Birth Control",0,"neutral"
"High Blood Pressure",0.0222222222222222,"positive"
"Rheumatoid Arthritis",0.0161290322580645,"positive"
"Restless Legs Syndrome",0.0967741935483871,"positive"
"Neuralgia",0.0571428571428571,"positive"
"Emergency Contraception",0,"neutral"
"Upper Respiratory Tract Infection",-0.115384615384615,"negative"
"Gerd",-0.08,"negative"
"Pain",0,"neutral"
"Anorexia",-0.125,"negative"
"Diabetes, Type 2",0.0930232558139535,"positive"
"Seizure Prevention",0.230769230769231,"positive"
"Weight Loss",0.0612244897959184,"positive"
"Bipolar Disorder",0.151515151515152,"positive"
"Atrophic Vaginitis",0.15,"positive"
"Vaginal Yeast Infection",-0.0606060606060606,"negative"
"Constipation",-0.0714285714285714,"negative"
